"name","link"
"Alabama A&M University","http://www.aamu.edu"
"Alabama State University","http://www.alasu.edu/"
"Albany State University","http://www.asurams.edu/"
"Alcorn State University","http://www.alcorn.edu/"
"Allen University","http://www.allenuniversity.edu/"
"American Baptist College","http://www.abcnash.edu/"
"Arkansas at Pine Bluff, University of","http://www.uapb.edu/"
"Arkansas Baptist College","http://www.arkansasbaptist.edu/"
"Barber-Scotia College","http://www.b-sc.edu/"
"Benedict College","http://www.benedict.edu"
"Bennett College","http://www.bennett.edu/"
"Bethune-Cookman University","http://www.cookman.edu/"
"Bishop State Community College","http://www.bishop.edu/"
"Bluefield State College","http://bluefieldstate.edu"
"Bowie State University","http://www.bowiestate.edu/"
"Carver College","http://www.carver.edu/"
"Central State University","http://www.centralstate.edu/ "
"Cheyney University of Pennsylvania","http://www.cheyney.edu/"
"Claflin University","http://www.claflin.edu/"
"Clark Atlanta University","http://www.cau.edu/"
"Clinton College","http://clintoncollege.edu"
"Coahoma Community College","http://www.coahomacc.edu"
"Coppin State University","http://www.coppin.edu/"
"Delaware State University","http://www.desu.edu/"
"Denmark Technical College","http://www.denmarktech.edu/"
"Dillard University","http://www.dillard.edu/"
"District of Columbia, University of the","http://www.udc.edu/"
"Edward Waters University","http://www.ewc.edu/"
"Elizabeth City State University","http://www.ecsu.edu/"
"Fayetteville State University","http://www.uncfsu.edu"
"Fisk University","http://www.fisk.edu/"
"Florida A&M University","http://www.famu.edu"
"Florida Memorial University","http://www.fmuniv.edu/"
"Fort Valley State University","http://www.fvsu.edu/"
"Gadsden State Community College","http://www.gadsdenstate.edu/"
"Grambling State University","http://www.gram.edu/"
"Hampton University","http://www.hamptonu.edu/"
"Harris-Stowe State University","http://www.hssu.edu/"
"Hinds Community College","http://www.hindscc.edu"
"Hood Theological","http://www.hoodseminary.edu"
"Howard University","http://www2.howard.edu/"
"Huston-Tillotson University","http://htu.edu/"
"Interdenominational Theological Center","http://www.itc.edu"
"J. F. Drake State Technical College","http://www.drakestate.edu/"
"Jackson State University","http://www.jsums.edu/"
"Jarvis Christian University","http://www.jarvis.edu/"
"Johnson C. Smith University","http://www.jcsu.edu/"
"Johnson C Smith Theological Seminary","http://www.smithseminary.org/"
"Kentucky State University","http://kysu.edu/"
"Knoxville College","http://www.knoxvillecollege.edu/"
"Lane College","http://www.lanecollege.edu/"
"Langston University","http://www.langston.edu/"
"Lawson State Community College","http://www.lawsonstate.edu/"
"LeMoyne-Owen College","http://www.loc.edu/"
"The Lincoln University","http://www.lincoln.edu/"
"Lincoln University","http://www.lincolnu.edu/"
"Livingstone College","http://www.livingstone.edu/"
"Maryland Eastern Shore, University of","http://www.umes.edu/"
"Meharry Medical College","http://www.mmc.edu/"
"Miles College","http://www.miles.edu"
"Miles School of Law","http://www.mlaw.edu/"
"Mississippi Valley State University","http://www.mvsu.edu/"
"Morehouse College","http://www.morehouse.edu/"
"Morehouse School of Medicine","http://www.msm.edu"
"Morgan State University","http://morgan.edu/"
"Morris Brown College","http://morrisbrown.edu/"
"Morris College","http://morris.edu/"
"Norfolk State University","http://www.nsu.edu/"
"North Carolina A&T State University","http://www.ncat.edu/"
"North Carolina Central University","http://www.nccu.edu/"
"Oakwood University","http://www.oakwood.edu/"
"Paine College","http://www.paine.edu/"
"Paul Quinn College","http://www.pqc.edu/"
"Payne Theological","http://payne.edu/"
"Philander Smith College","http://www.philander.edu/"
"Prairie View A&M University","http://www.pvamu.edu/"
"Rust College","http://www.rustcollege.edu"
"Savannah State University","http://www.savannahstate.edu/"
"Selma University","http://selmauniversity.edu/"
"Shaw University","http://www.shawu.edu/"
"Shelton State Community College","http://sheltonstate.edu"
"Shorter College","http://www.shortercollege.edu/"
"Simmons College of Kentucky","http://www.simmonscollegeky.edu"
"South Carolina State University","http://www.scsu.edu"
"Southern University at New Orleans","http://www.suno.edu/"
"Southern University at Shreveport","http://www.susla.edu/"
"Southern University and A&M College","http://www.subr.edu"
"Southwestern Christian College","http://www.swcc.edu/"
"Spelman College","http://www.spelman.edu/"
"St. Augustine's University","http://www.st-aug.edu/"
"St. Philip's College","http://www.alamo.edu/"
"Stillman College","http://www.stillman.edu/"
"Talladega College","http://www.talladega.edu/"
"Tennessee State University","http://www.tnstate.edu/"
"Texas College","http://www.texascollege.edu/"
"Texas Southern University","http://www.tsu.edu/"
"Tougaloo College","http://www.tougaloo.edu/"
"H. Councill Trenholm State Community College","http://www.trenholmstate.edu"
"Tuskegee University","http://www.tuskegee.edu"
"Virgin Islands, University of the","http://www.uvi.edu/"
"Virginia State University","http://www.vsu.edu"
"Virginia Union University","http://www.vuu.edu/"
"Virginia University of Lynchburg","http://www.vul.edu"
"Voorhees University","http://www.voorhees.edu/"
"West Virginia State University","http://www.wvstateu.edu/"
"Wilberforce University","http://www.wilberforce.edu/"
"Wiley University","http://www.wileyc.edu/"
"Winston-Salem State University","http://www.wssu.edu/"
"Xavier University of Louisiana","http://www.xula.edu/"